Price;Acreage
3.0;25
4.0;35
3.0;30
3.5;36
3.0;28
2.8;35
3.4;30
2.7;20
2.5;15
2.2;17
3.5;30
3.3;25
2.6;25
2.25;18
2.8;25
3.5;25
5.3;35
2.5;20
2.0;45
1.6;25
1.5;30
1.5;18
2.7;25
3.0;20
3.0;20
3.2;20
4.5;28
3.0;37
3.5;40
5.0;40
2.3;28
3.5;32
2.8;30
3.6;27
3.8;28
3.3;25
3.0;30
1.2;15
2.7;20
2.8;20
3.0;45
3.2;30
1.5;16
3.5;25
4.5;30
3.8;25
3.3;28
2.0;20
2.7;25
3.0;30
3.5;25
1.5;18
2.5;24
3.2;25
3.0;30
3.4;27
2.5;25
4.5;30
1.0;18
2.8;18
4.5;30
2.4;17
2.3;23
2.5;23
1.2;15
2.5;16
2.5;25
1.2;15
2.5;18
4.5;25
3.7;25
3.6;35
3.6;35
3.6;25
1.4;15
1.5;15
1.6;17
1.5;16
3.5;28
1.5;14
2.3;18
2.5;25
4.5;25
2.4;15
4.0;32
4.8;38
3.5;32
3.5;48
2.2;25
2.5;26
1.6;17
3.0;30
2.2;20
2.7;30
3.5;28
6.5;40
1.2;12
4.5;25
6.5;40
1.2;12
4.5;25
2.2;19
2.0;20
3.0;20
2.3;20
1.4;15
3.0;25
2.5;37
2.4;20
2.8;30
4.5;55
3.0;29
3.4;35
3.8;35
3.0;25
3.5;35
2.0;15
6.0;50
3.0;17
1.3;15
1.7;20
3.0;20
1.6;25
2.6;25
3.0;17
1.5;15
2.8;28
3.5;30
1.6;18
2.0;23
1.3;17
2.4;25
3.0;29
1.3;16
1.5;16
2.0;21
2.4;18
3.5;34
4.0;46
3.5;32
3.5;25
1.5;12
2.5;18
1.2;15
3.0;20
1.5;16
4.3;35
1.7;15
3.0;22
1.9;17